iter	Passed	Remaining
0	222	222666
1	224	112241
2	226	75298
3	228	56944
4	229	45750
5	230	38258
6	232	32947
7	233	28917
8	234	25828
9	236	23462
10	238	21436
11	239	19694
12	239	18218
13	242	17108
14	244	16040
15	245	15088
16	246	14243
17	247	13483
18	248	12805
19	248	12192
20	249	11652
21	250	11148
22	251	10677
23	252	10260
24	253	9869
25	254	9531
26	255	9222
27	256	8909
28	257	8622
29	258	8348
30	259	8097
31	259	7863
32	260	7640
33	261	7430
34	262	7231
35	263	7045
36	263	6868
37	264	6700
38	265	6542
39	266	6391
40	267	6248
41	267	6112
42	268	5983
43	269	5865
44	270	5748
45	271	5628
46	272	5520
47	273	5418
48	274	5318
49	274	5223
50	275	5131
51	276	5035
52	276	4945
53	277	4865
54	279	4795
55	279	4716
56	280	4639
57	283	4604
58	284	4538
59	285	4477
60	286	4412
61	287	4347
62	288	4287
63	289	4228
64	289	4170
65	290	4114
66	291	4062
67	292	4012
68	293	3960
69	294	3908
70	294	3858
71	295	3810
72	298	3793
73	299	3749
74	300	3704
75	301	3660
76	301	3617
77	302	3576
78	303	3536
79	304	3497
80	304	3458
81	305	3420
82	306	3382
83	306	3345
84	307	3309
85	308	3273
86	308	3240
87	309	3212
88	312	3198
89	313	3173
90	314	3141
91	315	3111
92	315	3080
93	316	3050
94	317	3020
95	317	2992
96	318	2962
97	318	2934
98	319	2907
99	320	2880
100	320	2852
101	321	2826
102	321	2801
103	322	2776
104	322	2751
105	323	2730
106	324	2706
107	324	2683
108	325	2660
109	328	2660
110	329	2640
111	330	2619
112	330	2596
113	331	2576
114	332	2558
115	333	2539
116	334	2520
117	334	2503
118	336	2487
119	336	2470
120	337	2453
121	338	2433
122	338	2416
123	340	2402
124	341	2389
125	342	2372
126	342	2355
127	343	2338
128	344	2323
129	345	2311
130	346	2301
131	347	2287
132	348	2273
133	349	2260
134	350	2246
135	351	2231
136	352	2217
137	352	2203
138	353	2189
139	354	2177
140	355	2163
141	355	2150
142	356	2137
143	357	2123
144	358	2111
145	358	2098
